"region_city","city_name","habitantes","cnae_secao","cnae_divisao","cnae_grupo","cnae_classe","cnae_subclasse","pct_cnae_secao","pct_cnae_divisao","pct_cnae_grupo","pct_cnae_classe","pct_cnae_subclasse"
"636",JOSE RAYDAN,4995,17,34,55,80,102,0.80952380952380952381,0.39080459770114942529,0.19298245614035087719,0.11887072808320950966,0.07674943566591422122
"974",DILERMANDO DE AGUIAR,3014,17,37,65,81,102,0.80952380952380952381,0.42528735632183908046,0.22807017543859649123,0.12035661218424962853,0.07674943566591422122
"706",SANTA HELENA DE MINAS,6366,14,31,53,79,102,0.66666666666666666667,0.35632183908045977011,0.18596491228070175439,0.11738484398216939079,0.07674943566591422122
"9161",TESOURO,3805,19,41,69,86,102,0.90476190476190476190,0.47126436781609195402,0.24210526315789473684,0.12778603268945022288,0.07674943566591422122
"2017",DUAS ESTRADAS,3596,15,37,61,87,102,0.71428571428571428571,0.42528735632183908046,0.21403508771929824561,0.12927191679049034175,0.07674943566591422122
"904",BRUNOPOLIS,2420,17,36,61,83,102,0.80952380952380952381,0.41379310344827586207,0.21403508771929824561,0.12332838038632986627,0.07674943566591422122
"2777",JUNDIA,4155,17,38,61,81,102,0.80952380952380952381,0.43678160919540229885,0.21403508771929824561,0.12035661218424962853,0.07674943566591422122
"608",FRANCISCOPOLIS,5391,17,30,56,82,102,0.80952380952380952381,0.34482758620689655172,0.19649122807017543860,0.12184249628528974740,0.07674943566591422122
"2261",SANTA ROSA DO PIAUI,5257,16,33,62,86,102,0.76190476190476190476,0.37931034482758620690,0.21754385964912280702,0.12778603268945022288,0.07674943566591422122
"2601",TEREZINHA,7169,17,38,61,88,102,0.80952380952380952381,0.43678160919540229885,0.21403508771929824561,0.13075780089153046062,0.07674943566591422122
"634",JOSE GONCALVES DE MINAS,4501,14,32,59,81,102,0.66666666666666666667,0.36781609195402298851,0.20701754385964912281,0.12035661218424962853,0.07674943566591422122
"3009",NOVA IBIA,6591,17,30,57,83,102,0.80952380952380952381,0.34482758620689655172,0.20000000000000000000,0.12332838038632986627,0.07674943566591422122
"9383",GUARANI DE GOIAS,3893,17,39,66,86,102,0.80952380952380952381,0.44827586206896551724,0.23157894736842105263,0.12778603268945022288,0.07674943566591422122
"1187",SANTO ANTONIO DE LISBOA,6415,16,33,64,86,102,0.76190476190476190476,0.37931034482758620690,0.22456140350877192982,0.12778603268945022288,0.07674943566591422122
"622",GUARACIAMA,4972,16,36,59,85,102,0.76190476190476190476,0.41379310344827586207,0.20701754385964912281,0.12630014858841010401,0.07674943566591422122
"7367",PIRAPO,2304,16,34,60,84,102,0.76190476190476190476,0.39080459770114942529,0.21052631578947368421,0.12481426448736998514,0.07674943566591422122
